var1,var2,pearson_r
x_39,y,0.86904543
x_10,x_11,0.85806098
x_21,x_22,0.84653252
x_24,x_27,0.84610307
x_24,x_30,0.83819962
x_20,x_21,0.79873379
x_11,x_12,0.79558488
x_38,x_39,0.77909531
x_11,y,0.77208500
x_21,y,0.75631768
x_3,x_9,0.74500296
x_37,x_39,0.73954690
x_17,x_18,0.70710371
x_32,x_33,0.70613394
x_36,x_39,0.70550918
x_15,x_18,0.70230844
x_35,x_39,0.69787451
x_7,x_9,0.68598019
x_24,x_39,0.67251556
x_9,y,0.66332152
x_10,y,0.65672138
x_32,y,0.65470454
x_38,y,0.65297156
x_37,y,0.64909094
x_24,y,0.64666908
x_12,y,0.64192396
x_3,y,0.63357043
x_35,y,0.63347270
x_20,y,0.63277818
x_15,y,0.63234677
x_6,x_9,0.63184026
x_22,y,0.62989140
x_36,y,0.62845029
x_7,y,0.62647594
x_17,y,0.62347546
x_6,y,0.61867019
x_21,x_39,0.61346841
x_34,y,0.60481563
